CORES,ASIC (SiliconCompiler- asap7),,,,,ASIC (SiliconCompiler- freepdk45),,,,,FPGA(Vivado- V80),,,,,,,
,Area   (µm²),F max. (MHz),Power (mW),Nets,Registers,Area (µm²),F max.(MHz),Power (mW),Nets,Registers,LUTs,F max. (MHz),Dyn.Power (mW),Routed Nets,FFs,Dist.RAM,LOOKAHEAD8,Uni.Control.Sets
,,,,,,,,,,,,,,,,,,
SERV,2382,1574,340,7736,1336,28800,621,1.7,6488,1336,262,528,61,740,446,36,0,20
FemtoRV32,2862,615,613,9849,1214,33876,369,3.7,8155,1214,505,427,42,985,464,40,18,6
PicoRV32,3574,794,804,13044,1601,43556,410,4.5,11233,1597,1138,567,73,1933,1002,40,38,22
DarkRISCV,3101,614,709,11358,1226,36718,358,4,9803,1226,1186,356,54,1515,354,128,28,5
Reindeer,7419,381,1251,28078,2713,89234,328,7,23992,2713,2357,369.5,95,4008,1908,40,100,30
Ultraembedded,7319,396,598,26770,2329,87090,269,3.9,24893,2329,3446,226.7,63,5614,2390,0,78,57
Simodense,11882,410,1719,40939,3031,138812,220,11.9,40404,3063,18331,196,411,21785,2918,15,687,82
Angelojacobo,4570,552,1126,16442,2033,54156,332,8,13563,2033,1636,310,38,2591,1067,40,38,36
RudolV,2202,752,525,7941,827,25974,480,4.3,7296,827,1705,493,115,2605,985,0,33,26
BiRISCV,19179,363,2078,73114,6371,224586,198,11,59847,6371,12192,141,157,16796,6426,0,314,652
EngineV,853,1618,203,3019,357,9673,761,0.9,2419,357,208,507,51,460,218,16,5,11
TinyRISCV,6700,362,565,25204,1994,77676,229,2.9,22658,1994,2502,148.2,49,4133,1339,60,50,22
RVX,3870,506,468,13096,1554,47039,261,2.3,12543,1561,3053,224,61,4510,1605,0,75,45
Hazard3,4408,541,957,17045,1645,53240,250,8.7,14081,1653,2320,203.67,85,3094,763,40,31,30
Glacial,265,1933,50,831,84,2617,1194,0.25,699,84,150,632,42,337,183,0,3,10
