target,target_label,combination,n_features,model,cv_accuracy_mean,cv_accuracy_std
asic_area,ASIC7 Area (um2),luts,1,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts,1,Perceptron,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts,1,SGDClassifier,0.4667,0.1886
asic_area,ASIC7 Area (um2),fmax,1,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax,1,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax,1,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),power,1,LogisticRegression,0.2667,0.0943
asic_area,ASIC7 Area (um2),power,1,Perceptron,0.2667,0.0943
asic_area,ASIC7 Area (um2),power,1,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),nets,1,LogisticRegression,0.5333,0.2494
asic_area,ASIC7 Area (um2),nets,1,Perceptron,0.4667,0.1886
asic_area,ASIC7 Area (um2),nets,1,SGDClassifier,0.4667,0.1886
asic_area,ASIC7 Area (um2),ffs,1,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),ffs,1,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),ffs,1,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),distram,1,LogisticRegression,0.2,0.0
asic_area,ASIC7 Area (um2),distram,1,Perceptron,0.2,0.1633
asic_area,ASIC7 Area (um2),distram,1,SGDClassifier,0.2,0.1633
asic_area,ASIC7 Area (um2),unicontrolsets,1,LogisticRegression,0.4667,0.2494
asic_area,ASIC7 Area (um2),unicontrolsets,1,Perceptron,0.3333,0.1886
asic_area,ASIC7 Area (um2),unicontrolsets,1,SGDClassifier,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + fmax,2,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax,2,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),luts + fmax,2,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),luts + power,2,LogisticRegression,0.5333,0.2494
asic_area,ASIC7 Area (um2),luts + power,2,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + power,2,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),luts + nets,2,LogisticRegression,0.5333,0.2494
asic_area,ASIC7 Area (um2),luts + nets,2,Perceptron,0.3333,0.1886
asic_area,ASIC7 Area (um2),luts + nets,2,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + ffs,2,LogisticRegression,0.5333,0.2494
asic_area,ASIC7 Area (um2),luts + ffs,2,Perceptron,0.6,0.1633
asic_area,ASIC7 Area (um2),luts + ffs,2,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + distram,2,LogisticRegression,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + distram,2,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + distram,2,SGDClassifier,0.5333,0.2494
asic_area,ASIC7 Area (um2),luts + unicontrolsets,2,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + unicontrolsets,2,Perceptron,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + unicontrolsets,2,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),fmax + power,2,LogisticRegression,0.6,0.1633
asic_area,ASIC7 Area (um2),fmax + power,2,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + power,2,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + nets,2,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + nets,2,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + nets,2,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + ffs,2,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + ffs,2,Perceptron,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + ffs,2,SGDClassifier,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + distram,2,LogisticRegression,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + distram,2,Perceptron,0.6,0.1633
asic_area,ASIC7 Area (um2),fmax + distram,2,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + unicontrolsets,2,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + unicontrolsets,2,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + unicontrolsets,2,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),power + nets,2,LogisticRegression,0.5333,0.2494
asic_area,ASIC7 Area (um2),power + nets,2,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),power + nets,2,SGDClassifier,0.4667,0.1886
asic_area,ASIC7 Area (um2),power + ffs,2,LogisticRegression,0.4667,0.2494
asic_area,ASIC7 Area (um2),power + ffs,2,Perceptron,0.4667,0.0943
asic_area,ASIC7 Area (um2),power + ffs,2,SGDClassifier,0.4667,0.1886
asic_area,ASIC7 Area (um2),power + distram,2,LogisticRegression,0.3333,0.0943
asic_area,ASIC7 Area (um2),power + distram,2,Perceptron,0.3333,0.0943
asic_area,ASIC7 Area (um2),power + distram,2,SGDClassifier,0.2,0.1633
asic_area,ASIC7 Area (um2),power + unicontrolsets,2,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),power + unicontrolsets,2,Perceptron,0.3333,0.0943
asic_area,ASIC7 Area (um2),power + unicontrolsets,2,SGDClassifier,0.3333,0.0943
asic_area,ASIC7 Area (um2),nets + ffs,2,LogisticRegression,0.6,0.1633
asic_area,ASIC7 Area (um2),nets + ffs,2,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),nets + ffs,2,SGDClassifier,0.5333,0.2494
asic_area,ASIC7 Area (um2),nets + distram,2,LogisticRegression,0.6,0.1633
asic_area,ASIC7 Area (um2),nets + distram,2,Perceptron,0.4667,0.1886
asic_area,ASIC7 Area (um2),nets + distram,2,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),nets + unicontrolsets,2,LogisticRegression,0.5333,0.2494
asic_area,ASIC7 Area (um2),nets + unicontrolsets,2,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),nets + unicontrolsets,2,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),ffs + distram,2,LogisticRegression,0.6,0.1633
asic_area,ASIC7 Area (um2),ffs + distram,2,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),ffs + distram,2,SGDClassifier,0.6667,0.1886
asic_area,ASIC7 Area (um2),ffs + unicontrolsets,2,LogisticRegression,0.4,0.1633
asic_area,ASIC7 Area (um2),ffs + unicontrolsets,2,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),ffs + unicontrolsets,2,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),distram + unicontrolsets,2,LogisticRegression,0.5333,0.1886
asic_area,ASIC7 Area (um2),distram + unicontrolsets,2,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),distram + unicontrolsets,2,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),luts + fmax + power,3,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power,3,Perceptron,0.4667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power,3,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + nets,3,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + nets,3,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + nets,3,SGDClassifier,0.7333,0.1886
asic_area,ASIC7 Area (um2),luts + fmax + ffs,3,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + ffs,3,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),luts + fmax + ffs,3,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + distram,3,LogisticRegression,0.6,0.0
asic_area,ASIC7 Area (um2),luts + fmax + distram,3,Perceptron,0.6,0.1633
asic_area,ASIC7 Area (um2),luts + fmax + distram,3,SGDClassifier,0.5333,0.2494
asic_area,ASIC7 Area (um2),luts + fmax + unicontrolsets,3,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + unicontrolsets,3,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + unicontrolsets,3,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + power + nets,3,LogisticRegression,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + power + nets,3,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + power + nets,3,SGDClassifier,0.4667,0.1886
