space,target,target_label,combination,n_features,model,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std
linear,asic_area,ASIC7 Area (um2),luts,1,LinearRegression,-0.9075,2.1818,3058.45,2057.35
linear,asic_area,ASIC7 Area (um2),luts,1,BayesianRidge,-0.935,2.1321,3097.96,2025.24
linear,asic_area,ASIC7 Area (um2),luts,1,RandomForest,0.3768,0.3175,2197.24,982.69
linear,asic_area,ASIC7 Area (um2),luts,1,GradientBoosting,0.0647,0.6848,2534.04,1109.84
linear,asic_area,ASIC7 Area (um2),luts,1,RidgeCV,-1.1202,1.9017,3237.32,1796.28
linear,asic_area,ASIC7 Area (um2),luts,1,LassoCV,-0.7899,1.8234,3047.07,1918.26
linear,asic_area,ASIC7 Area (um2),luts,1,LassoLarsIC,-0.9075,2.1818,3058.45,2057.35
linear,asic_area,ASIC7 Area (um2),luts,1,ElasticNetCV,-0.7899,1.8234,3047.07,1918.26
linear,asic_area,ASIC7 Area (um2),luts,1,SGDRegressor,-0.9045,2.1736,3058.14,2054.17
linear,asic_area,ASIC7 Area (um2),luts,1,GaussianProcess,-1.5334,3.0589,3397.57,1691.94
linear,asic_area,ASIC7 Area (um2),luts,1,KNN_k3_scaled,0.4117,0.208,2106.58,1314.35
linear,asic_area,ASIC7 Area (um2),fmax,1,LinearRegression,-0.4036,0.9197,2740.66,900.93
linear,asic_area,ASIC7 Area (um2),fmax,1,BayesianRidge,-0.1396,0.5356,2637.9,955.05
linear,asic_area,ASIC7 Area (um2),fmax,1,RandomForest,-0.5432,0.7282,3044.82,1035.86
linear,asic_area,ASIC7 Area (um2),fmax,1,GradientBoosting,-1.5838,1.8498,3747.3,1073.62
linear,asic_area,ASIC7 Area (um2),fmax,1,RidgeCV,-0.0838,0.46,2608.52,966.95
linear,asic_area,ASIC7 Area (um2),fmax,1,LassoCV,-0.9918,1.9888,2982.14,809.71
linear,asic_area,ASIC7 Area (um2),fmax,1,LassoLarsIC,-0.4036,0.9197,2740.66,900.93
linear,asic_area,ASIC7 Area (um2),fmax,1,ElasticNetCV,0.0338,0.2541,2602.18,1004.3
