model,mean_linear,mean_log,median_linear,median_log,mean_both,median_both,pct_negative
RandomForest,0.0962,0.1586,0.253,0.2999,0.1274,0.2765,21.1417
GradientBoosting,-0.206,-0.172,0.1311,0.1502,-0.189,0.1407,36.7717
KNN_k3_scaled,-0.3557,0.0266,-0.1648,0.1466,-0.1645,-0.0091,29.8031
BayesianRidge,-1.8992,-0.3295,-0.6531,0.0661,-1.1143,-0.2935,51.1811
LassoLarsIC,-12.8195,-0.8679,-0.9418,0.1648,-6.8437,-0.3885,51.5748
GaussianProcess,-0.8534,-0.1124,-0.9611,-0.0531,-0.4829,-0.5071,63.3071
ElasticNetCV,-10.4772,-0.1342,-1.2529,0.1859,-5.3057,-0.5335,49.7244
RidgeCV,-12.0237,-0.7076,-1.4,0.0956,-6.3656,-0.6522,54.8425
LassoCV,-12.3129,-0.3045,-1.9951,0.2076,-6.3087,-0.8938,50.3543
SGDRegressor,-17.8617,-0.7255,-6.2447,-0.0456,-9.2936,-3.1452,57.0472
LinearRegression,-26.4892,-3.0573,-8.698,-0.4993,-14.7732,-4.5987,63.2283
