pdk,target,target_label,combination,n_features,model,cv_accuracy_mean,cv_accuracy_std
ASIC7,fpga_luts,FPGA LUTs,area,1,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area,1,Perceptron,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area,1,SGDClassifier,0.4667,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax,1,LogisticRegression,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax,1,Perceptron,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,fmax,1,SGDClassifier,0.4667,0.0943
ASIC7,fpga_luts,FPGA LUTs,power,1,LogisticRegression,0.4667,0.0943
ASIC7,fpga_luts,FPGA LUTs,power,1,Perceptron,0.3333,0.1886
ASIC7,fpga_luts,FPGA LUTs,power,1,SGDClassifier,0.4667,0.1886
ASIC7,fpga_luts,FPGA LUTs,nets,1,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,nets,1,Perceptron,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,nets,1,SGDClassifier,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,registers,1,LogisticRegression,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,registers,1,Perceptron,0.4,0.1633
ASIC7,fpga_luts,FPGA LUTs,registers,1,SGDClassifier,0.4667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax,2,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + fmax,2,Perceptron,0.6,0.0
ASIC7,fpga_luts,FPGA LUTs,area + fmax,2,SGDClassifier,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + power,2,LogisticRegression,0.6667,0.1886
ASIC7,fpga_luts,FPGA LUTs,area + power,2,Perceptron,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + power,2,SGDClassifier,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + nets,2,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + nets,2,Perceptron,0.4667,0.1886
ASIC7,fpga_luts,FPGA LUTs,area + nets,2,SGDClassifier,0.4,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + registers,2,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + registers,2,Perceptron,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + registers,2,SGDClassifier,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + power,2,LogisticRegression,0.4,0.1633
ASIC7,fpga_luts,FPGA LUTs,fmax + power,2,Perceptron,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + power,2,SGDClassifier,0.4,0.1633
ASIC7,fpga_luts,FPGA LUTs,fmax + nets,2,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,fmax + nets,2,Perceptron,0.4667,0.1886
ASIC7,fpga_luts,FPGA LUTs,fmax + nets,2,SGDClassifier,0.4667,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + registers,2,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,fmax + registers,2,Perceptron,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + registers,2,SGDClassifier,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,power + nets,2,LogisticRegression,0.6667,0.1886
ASIC7,fpga_luts,FPGA LUTs,power + nets,2,Perceptron,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,power + nets,2,SGDClassifier,0.8,0.1633
ASIC7,fpga_luts,FPGA LUTs,power + registers,2,LogisticRegression,0.5333,0.1886
ASIC7,fpga_luts,FPGA LUTs,power + registers,2,Perceptron,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,power + registers,2,SGDClassifier,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,nets + registers,2,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,nets + registers,2,Perceptron,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,nets + registers,2,SGDClassifier,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power,3,Perceptron,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power,3,SGDClassifier,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + nets,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + fmax + nets,3,Perceptron,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + nets,3,SGDClassifier,0.6,0.0
ASIC7,fpga_luts,FPGA LUTs,area + fmax + registers,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + fmax + registers,3,Perceptron,0.6,0.0
ASIC7,fpga_luts,FPGA LUTs,area + fmax + registers,3,SGDClassifier,0.6,0.0
ASIC7,fpga_luts,FPGA LUTs,area + power + nets,3,LogisticRegression,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + power + nets,3,Perceptron,0.6,0.0
ASIC7,fpga_luts,FPGA LUTs,area + power + nets,3,SGDClassifier,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + power + registers,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + power + registers,3,Perceptron,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + power + registers,3,SGDClassifier,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + nets + registers,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + nets + registers,3,Perceptron,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + nets + registers,3,SGDClassifier,0.4667,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + power + nets,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,fmax + power + nets,3,Perceptron,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + power + nets,3,SGDClassifier,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + power + registers,3,LogisticRegression,0.5333,0.1886
ASIC7,fpga_luts,FPGA LUTs,fmax + power + registers,3,Perceptron,0.6667,0.1886
ASIC7,fpga_luts,FPGA LUTs,fmax + power + registers,3,SGDClassifier,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + nets + registers,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,fmax + nets + registers,3,Perceptron,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + nets + registers,3,SGDClassifier,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,power + nets + registers,3,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,power + nets + registers,3,Perceptron,0.6667,0.1886
ASIC7,fpga_luts,FPGA LUTs,power + nets + registers,3,SGDClassifier,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power + nets,4,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power + nets,4,Perceptron,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power + nets,4,SGDClassifier,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power + registers,4,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power + registers,4,Perceptron,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power + registers,4,SGDClassifier,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + nets + registers,4,LogisticRegression,0.6,0.1633
ASIC7,fpga_luts,FPGA LUTs,area + fmax + nets + registers,4,Perceptron,0.6,0.0
ASIC7,fpga_luts,FPGA LUTs,area + fmax + nets + registers,4,SGDClassifier,0.6,0.0
ASIC7,fpga_luts,FPGA LUTs,area + power + nets + registers,4,LogisticRegression,0.7333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + power + nets + registers,4,Perceptron,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + power + nets + registers,4,SGDClassifier,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + power + nets + registers,4,LogisticRegression,0.5333,0.1886
ASIC7,fpga_luts,FPGA LUTs,fmax + power + nets + registers,4,Perceptron,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,fmax + power + nets + registers,4,SGDClassifier,0.5333,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power + nets + registers,5,LogisticRegression,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power + nets + registers,5,Perceptron,0.6667,0.0943
ASIC7,fpga_luts,FPGA LUTs,area + fmax + power + nets + registers,5,SGDClassifier,0.6667,0.0943
ASIC7,fpga_fmax,FPGA Fmax (MHz),area,1,LogisticRegression,0.4667,0.1886
ASIC7,fpga_fmax,FPGA Fmax (MHz),area,1,Perceptron,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),area,1,SGDClassifier,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax,1,LogisticRegression,0.6,0.1633
ASIC7,fpga_fmax,FPGA Fmax (MHz),fmax,1,Perceptron,0.6667,0.0943
