pdk,space,target,target_label,combination,n_features,model,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,LinearRegression,-1.899,1.6953,2504.97,1643.46
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,BayesianRidge,-1.7204,1.6403,2431.91,1599.92
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,RandomForest,-0.6623,1.5916,1757.39,2047.37
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,GradientBoosting,-1.6462,2.8452,2316.28,2086.35
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,RidgeCV,-1.8692,2.1277,2435.07,1700.16
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,LassoCV,-1.894,1.6932,2503.25,1642.38
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,LassoLarsIC,-1.899,1.6953,2504.97,1643.46
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,ElasticNetCV,-1.894,1.6932,2503.25,1642.38
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,SGDRegressor,-1.8944,1.6916,2504.28,1643.81
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,GaussianProcess,-0.4066,1.0539,1789.57,1548.78
ASIC7,linear,fpga_luts,FPGA LUTs,area,1,KNN_k3_scaled,-0.4398,1.1846,1921.42,1991.82
ASIC7,linear,fpga_luts,FPGA LUTs,fmax,1,LinearRegression,-14.2355,20.2943,3306.88,1207.71
ASIC7,linear,fpga_luts,FPGA LUTs,fmax,1,BayesianRidge,-10.5508,15.3166,3088.78,1398.39
ASIC7,linear,fpga_luts,FPGA LUTs,fmax,1,RandomForest,-14.0535,24.6078,2850.75,1609.43
ASIC7,linear,fpga_luts,FPGA LUTs,fmax,1,GradientBoosting,-28.3714,56.3539,3041.87,2185.94
ASIC7,linear,fpga_luts,FPGA LUTs,fmax,1,RidgeCV,-11.4568,16.3592,3131.84,1325.48
ASIC7,linear,fpga_luts,FPGA LUTs,fmax,1,LassoCV,-11.5165,16.6681,3211.27,1282.25
